player_name,team_name,image_url
Bernd Leno,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p80201.png
Arthur Okonkwo,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p220682.png
Karl Hein,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p463748.png
Aaron Ramsdale,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p225321.png
Kieran Tierney,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p192895.png
Gabriel Magalhães,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p226597.png
Rob Holding,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p156074.png
Cédric Soares,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p58822.png
Calum Chambers,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p101184.png
Pablo Marí,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p92371.png
Sead Kolasinac,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p111457.png
Nuno Tavares,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p437626.png
Ben White,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p198869.png
Takehiro Tomiyasu,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p223723.png
Bukayo Saka,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p223340.png
Thomas Partey,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p167199.png
Mohamed Elneny,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p153256.png
Emile Smith Rowe,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p209289.png
Granit Xhaka,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p84450.png
Ainsley Maitland-Niles,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p154043.png
Albert Sambi Lokonga,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p437742.png
Martin Ødegaard,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p184029.png
Alexandre Lacazette,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p59966.png
Pierre-Emerick Aubameyang,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p54694.png
Nicolas Pépé,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p195735.png
Eddie Nketiah,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p205533.png
Gabriel Martinelli,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p444145.png
Folarin Balogun,Arsenal,https://resources.premierleague.com/premierleague/photos/players/110x140/p232223.png
Jed Steer,Aston Villa,https://resources.premierleague.com/premierleague/photos/players/110x140/p79852.png
Emiliano Martínez,Aston Villa,https://resources.premierleague.com/premierleague/photos/players/110x140/p98980.png
Viljami Sinisalo,Aston Villa,https://resources.premierleague.com/premierleague/photos/players/110x140/p248164.png
