iter	Passed	Remaining
0	10	2401
1	19	2300
2	30	2426
3	44	2583
4	53	2476
5	66	2574
6	75	2481
7	83	2390
8	90	2310
9	98	2250
10	107	2223
11	115	2180
12	123	2141
13	131	2111
14	140	2089
15	149	2068
16	156	2040
17	169	2075
18	183	2114
19	193	2109
20	206	2136
21	218	2141
22	229	2144
23	247	2206
24	263	2245
25	278	2274
26	289	2263
27	322	2419
28	336	2424
29	346	2402
30	357	2386
31	368	2369
32	380	2361
33	402	2414
34	415	2410
35	426	2393
36	439	2388
37	450	2371
38	459	2346
39	471	2333
40	478	2297
41	488	2278
42	497	2256
43	521	2300
44	539	2315
45	574	2396
46	585	2381
47	594	2354
48	605	2335
49	615	2314
50	624	2288
51	636	2278
52	646	2257
53	655	2234
54	664	2212
55	677	2200
56	686	2181
57	696	2160
58	704	2138
59	714	2118
60	726	2108
61	741	2104
62	755	2099
63	762	2073
64	775	2064
65	784	2045
66	794	2026
67	803	2009
68	814	1993
69	823	1977
70	833	1959
71	844	1946
72	853	1929
73	867	1921
74	882	1917
75	891	1899
76	899	1880
77	908	1863
78	916	1845
79	926	1830
80	937	1816
81	948	1803
82	960	1793
83	975	1788
84	990	1782
85	1004	1775
86	1014	1760
87	1024	1746
88	1033	1730
89	1041	1713
90	1051	1698
91	1060	1683
92	1070	1668
93	1087	1666
94	1104	1662
95	1118	1654
96	1129	1641
97	1139	1628
98	1148	1612
99	1157	1596
100	1162	1576
101	1171	1561
102	1181	1547
103	1190	1533
104	1201	1522
105	1214	1512
106	1228	1503
107	1237	1489
108	1246	1475
109	1264	1471
110	1275	1459
111	1288	1449
112	1297	1435
113	1307	1421
114	1315	1407
115	1324	1392
116	1334	1379
117	1344	1367
118	1356	1356
119	1373	1350
120	1390	1344
121	1405	1336
122	1417	1325
123	1431	1315
124	1442	1304
125	1451	1290
126	1461	1276
127	1471	1264
128	1481	1251
129	1501	1247
130	1515	1237
131	1525	1225
132	1534	1211
133	1542	1197
134	1550	1182
135	1558	1168
136	1566	1154
137	1574	1141
138	1584	1128
139	1593	1115
140	1608	1106
141	1617	1093
142	1626	1080
143	1634	1066
144	1643	1054
145	1649	1039
146	1658	1026
147	1670	1016
148	1684	1006
149	1700	997
150	1712	986
151	1728	977
152	1746	970
153	1769	965
154	1783	954
155	1797	945
156	1810	933
157	1821	922
158	1830	909
159	1839	896
160	1849	884
161	1858	871
162	1867	859
163	1877	847
164	1893	837
165	1904	825
166	1913	813
167	1918	799
168	1925	786
169	1933	773
170	1942	760
171	1950	748
172	1959	736
173	1969	724
174	1979	712
175	1988	700
176	1997	688
177	2006	676
178	2016	664
179	2023	652
180	2033	640
181	2043	628
182	2053	617
183	2064	605
184	2075	594
185	2088	583
186	2099	572
187	2118	563
188	2133	553
189	2146	542
190	2160	531
191	2172	520
192	2185	509
193	2196	498
194	2207	486
195	2218	475
196	2226	463
197	2237	452
198	2247	440
199	2263	429
200	2273	418
201	2279	406
202	2288	394
203	2296	382
204	2305	371
205	2313	359
206	2321	347
207	2329	336
208	2338	324
209	2347	313
210	2360	302
211	2375	291
212	2390	280
213	2398	269
214	2409	257
215	2421	246
216	2433	235
217	2444	224
218	2453	212
219	2462	201
220	2471	190
221	2480	178
222	2490	167
223	2503	156
224	2515	145
225	2527	134
226	2537	122
227	2549	111
228	2566	100
229	2582	89
230	2588	78
231	2600	67
232	2610	56
233	2619	44
234	2630	33
235	2639	22
236	2648	11
237	2663	0
